date_posted,date,transaction,amount,identifier,category
2021-04-12,2021-04-08,SQ *LEWIS GINTER GARRichmond WV,-16.09,lewis,entertainment
2021-04-19,2021-04-16,"MAPCO 1571 FLOWER, FL",-7.67,mapco,gas
2021-04-19,2021-04-16,"SHELL OIL 45468787999 BOSTON, MA",-8.46,shell,gas
2021-04-06,2021-04-05,KROGER #456 MARTINSBURG NC,-229.12,kroger,groceries
2021-04-15,2021-04-14,FOOD LION #8457 CHINA LAKE CA,-69.99,food,groceries
2021-04-06,2021-04-05,HOME DEPOT #11154 MARTINSBURG NC,-105.95,home,home
2021-04-08,2021-04-06,TRACTOR SUPPLY #5555 NEWARK NY,-6.86,tractor,home
2021-04-07,2021-04-06,WALGREENS #8885 MARTINSBURG NC,-44.27,walgreens,medical
2021-04-14,2021-04-13,RITE AID 1574 LITTLE ROCK AK,-5.09,rite,medical
2021-04-16,2021-04-14,PHYSICIANS OFFICE 888-666-2424 AL,-49.95,physicians,medical
2021-04-14,2021-04-13,AMZN Mktp US*FB12334 Amzn.com/billWA,-23.45,amzn,online
2021-04-15,2021-04-13,PAYPAL *PURCHASE 555-634-1921 CA,-39.99,paypal,online
2021-04-08,2021-04-07,MARY SUES VETERINARY -RICKARTON WV,-239.0,mary,pet
2021-04-07,2021-04-05,JAPANESE RESTAURANT MARTINSBURG NC,-49.0,japanese,restaurant
2021-04-12,2021-04-11,PLAZA AZTECA LITTLE ROCK AK,-31.84,plaza,restaurant
2021-04-09,2021-04-08,DOORDASH*BUFFALO WILD WWW.DOORDASH.CA,-27.5,doordash,take_away
2021-04-12,2021-04-10,STARBUCKS STORE 56548 APPLEVILLE GA,-48.39,starbucks,take_away
2021-04-19,2021-04-16,BOJANGLES 1931 ARLINGTON PA,-20.0,bojangles,take_away
2021-04-12,2021-04-09,SAN DIEGO SANITATI 888-1645-8911 CA,-22.66,san,utility
2021-04-13,2021-04-12,VZWRLSS*APOCC VISW 800-922-0204 FL,-220.5,vzwrlss,utility
2021-04-14,2021-04-12,"TRELLO.COM, ATLASSIAN 888-942-1573 NY",-7.4,trello,work
2021-04-09,2021-04-08,Adobe Inc 888-198884354 CA,-136.0,adobe,education
