date,transaction,amount,identifier,category
03/31/2021,"TRELLO.COM, ATLASSIAN 888-942-1573 NY",-69.99,"TRELLO.COM,",work
04/05/2021,KROGER #456 MARTINSBURG NC,-229.12,KROGER,food
04/05/2021,HOME DEPOT #11154 MARTINSBURG NC,-20.0,DEPOT,home
04/05/2021,JAPANESE RESTAURANT MARTINSBURG NC,-48.39,RESTAURANT,restaurants
04/06/2021,TRACTOR SUPPLY #5555 NEWARK NY,-27.5,TRACTOR,home
04/06/2021,WALGREENS #8885 MARTINSBURG NC,-6.86,WALGREENS,medical
04/07/2021,MARY SUES VETERINARY -RICKARTON WV,-105.95,VETERINARY,pets
04/08/2021,Adobe Inc 888-198884354 CA,-239.0,Adobe,work
04/08/2021,SQ *LEWIS GINTER GARRichmond WV,-31.84,GINTER,fun
04/08/2021,DOORDASH*BUFFALO WILD WWW.DOORDASH.CA,-49.0,DOORDASH,fast_food
04/09/2021,SAN DIEGO SANITATI 888-1645-8911 CA,-220.5,SANITATI,utilities
04/10/2021,STARBUCKS STORE 56548 APPLEVILLE GA,-22.66,STARBUCKS,fast_food
04/11/2021,PLAZA AZTECA LITTLE ROCK AK,-8.46,AZTECA,restaurants
04/12/2021,VZWRLSS*APOCC VISW 800-922-0204 FL,-7.67,VZWRLSS,utilities
04/13/2021,RITE AID 1574 LITTLE ROCK AK,-49.95,RITE,medical
04/13/2021,PAYPAL *PURCHASE 555-634-1921 CA,-5.09,PAYPAL,online
04/13/2021,AMZN Mktp US*FB12334 Amzn.com/billWA,-44.27,AMZN,online
04/14/2021,FOOD LION #8457 CHINA LAKE CA,-16.09,LION,food
04/16/2021,"SHELL OIL 45468787999 BOSTON, MA",-39.99,SHELL,gas
04/16/2021,"MAPCO 1571 FLOWER, FL",-23.45,MAPCO,gas
05/14/2021,PHYSICIANS OFFICE 888-666-2424 AL,-7.4,PHYSICIANS,medical
05/16/2021,BOJANGLES 1931 ARLINGTON PA,-136.0,BOJANGLES,fast_food
