date,transaction,amount,identifier,category
2021-03-31,"TRELLO.COM, ATLASSIAN 888-942-1573 NY",-69.99,"TRELLO.COM,",work
2021-04-05,KROGER #456 MARTINSBURG NC,-229.12,KROGER,food
2021-04-05,HOME DEPOT #11154 MARTINSBURG NC,-20.0,HOME,home
2021-04-05,JAPANESE RESTAURANT MARTINSBURG NC,-48.39,RESTAURANT,restaurants
2021-04-06,TRACTOR SUPPLY #5555 NEWARK NY,-27.5,TRACTOR,home
2021-04-06,WALGREENS #8885 MARTINSBURG NC,-6.86,WALGREENS,medical
2021-04-07,MARY SUES VETERINARY -RICKARTON WV,-105.95,VETERINARY,pets
2021-04-08,Adobe Inc 888-198884354 CA,-239.0,Adobe,work
2021-04-08,SQ *LEWIS GINTER GARRichmond WV,-31.84,GINTER,fun
2021-04-08,DOORDASH*BUFFALO WILD WWW.DOORDASH.CA,-49.0,DOORDASH,fast_food
2021-04-09,SAN DIEGO SANITATI 888-1645-8911 CA,-220.5,SANITATI,utilities
2021-04-10,STARBUCKS STORE 56548 APPLEVILLE GA,-22.66,STARBUCKS,fast_food
2021-04-11,PLAZA AZTECA LITTLE ROCK AK,-8.46,AZTECA,restaurants
2021-04-12,VZWRLSS*APOCC VISW 800-922-0204 FL,-7.67,VZWRLSS,utilities
2021-04-13,RITE AID 1574 LITTLE ROCK AK,-49.95,AID,medical
2021-04-13,PAYPAL *PURCHASE 555-634-1921 CA,-5.09,PAYPAL,online
2021-04-13,AMZN Mktp US*FB12334 Amzn.com/billWA,-44.27,AMZN,online
2021-04-14,FOOD LION #8457 CHINA LAKE CA,-16.09,LION,food
2021-04-16,"SHELL OIL 45468787999 BOSTON, MA",-39.99,SHELL,gas
2021-04-16,"MAPCO 1571 FLOWER, FL",-23.45,MAPCO,gas
2021-05-14,PHYSICIANS OFFICE 888-666-2424 AL,-7.4,PHYSICIANS,medical
2021-05-16,BOJANGLES 1931 ARLINGTON PA,-136.0,BOJANGLES,fast_food
